,Rooms,Status,Area,Price
585,3,Ready to move,1700,16000000
586,3,Ready to move,1800,23800000
587,3,Ready to move,1000,5600000
588,2,Ready to move,650,3500000
589,3,Ready to move,800,3950000
590,2,Ready to move,620,3200000
591,3,Ready to move,1250,6900000
592,3,Ready to move,1050,5500000
593,2,Ready to move,610,3190000
594,2,Ready to move,640,3220000
595,3,Ready to move,875,4700000
596,2,Ready to move,630,3210000
597,2,Ready to move,650,3225000
598,3,Ready to move,850,4300000
599,3,Ready to move,800,4100000
600,2,Ready to move,600,2700000
601,1,Ready to move,400,1600000
602,2,Ready to move,600,2599000
603,4,Ready to move,2400,21000000
604,4,Ready to move,2400,16399999
605,4,Ready to move,2400,24500000
606,3,Ready to move,1700,18000000
607,3,Ready to move,1750,17600000
608,3,Ready to move,1750,19500000
609,4,Ready to move,2000,24000000
610,3,Ready to move,1700,17800000
611,3,Ready to move,1600,15600000
612,3,Ready to move,1600,16200000
613,3,Ready to move,1700,15300000
614,3,Ready to move,1800,17500000
615,3,Ready to move,1600,15800000
616,3,Ready to move,1600,15000000
617,3,Ready to move,2000,17500000
618,3,Ready to move,1600,21800000
619,3,Ready to move,1750,19200000
620,3,Ready to move,1600,15800000
621,2,Ready to move,585,3000000
622,3,Ready to move,900,4500000
623,4,Ready to move,1200,7500000
624,3,Ready to move,810,4000000
625,2,Ready to move,700,3000000
626,2,Ready to move,650,2800000
627,3,Ready to move,750,3500000
628,2,Ready to move,600,2400000
629,4,Under Construction,1100,10000000
630,2,Ready to move,650,5000000
631,3,Ready to move,750,9500000
632,3,Ready to move,1000,14000000
633,3,Ready to move,850,12500000
634,2,Ready to move,650,5400000
635,1,Ready to move,400,3000000
636,3,Ready to move,885,5000000
637,3,Ready to move,2400,22000000
638,4,Ready to move,2000,20000000
639,3,Ready to move,2400,23500000
640,3,Ready to move,1600,22500000
641,4,Ready to move,1600,8000000
642,4,Ready to move,1600,8000000
643,4,Ready to move,1600,8000000
644,4,Ready to move,1600,8000000
645,4,Ready to move,1500,7000000
646,4,Ready to move,1500,7000000
647,3,Ready to move,1000,5000000
648,3,Ready to move,1000,5000000
649,3,Ready to move,900,4500000
650,3,Ready to move,900,4500000
651,2,Ready to move,500,2000000
652,2,Ready to move,500,2000000
653,2,Ready to move,750,3500000
654,2,Ready to move,750,3500000
655,2,Ready to move,700,3000000
656,2,Ready to move,700,3000000
657,4,Ready to move,2000,10000000
658,4,Ready to move,2000,10000000
659,2,Ready to move,600,2500000
660,2,Ready to move,600,2500000
661,4,Ready to move,1800,9000000
662,4,Ready to move,1800,9000000
663,3,Ready to move,950,9500000
664,4,Ready to move,1650,15000000
665,4,Ready to move,2250,20500000
666,4,Ready to move,1450,16500000
667,2,Ready to move,650,5800000
668,3,Ready to move,1450,17600000
669,4,Ready to move,1650,22500000
670,3,Ready to move,1100,12500000
671,3,Ready to move,800,7400000
672,2,Ready to move,550,4800000
673,2,Ready to move,700,6700000
674,3,Ready to move,1650,20000000
675,5,Ready to move,1890,32000000
676,3,Ready to move,1700,15800000
677,3,Ready to move,1700,16399999
678,3,Ready to move,1750,18500000
679,4,Ready to move,2400,26400000
680,3,Ready to move,1800,20900000
681,3,Ready to move,1700,17900000
682,3,Ready to move,1700,15200000
683,3,Ready to move,810,5500000
684,3,Ready to move,810,4000000
685,3,Ready to move,945,6300000
686,3,Ready to move,855,5650000
687,2,Under Construction,450,3400000
688,4,Ready to move,2800,22500000
689,4,Ready to move,2600,25500000
690,4,Ready to move,2600,23500000
691,4,Ready to move,2620,25500000
692,3,Ready to move,1800,20000000
693,3,Ready to move,1750,17200000
694,3,Ready to move,1750,18000000
695,3,Ready to move,1700,16000000
696,3,Ready to move,650,3000000
697,3,Ready to move,820,5000000
698,3,Ready to move,700,3700000
699,3,Ready to move,1100,5500000
700,3,Ready to move,1100,6500000
701,4,Ready to move,1200,7800000
702,3,Ready to move,810,5000000
703,3,Ready to move,1100,6500000
704,2,Ready to move,600,4500000
705,3,Ready to move,1100,6000000
706,2,Ready to move,1000,3800000
707,2,Ready to move,450,2300000
708,3,Ready to move,810,5000000
709,3,Ready to move,700,3700000
710,3,Ready to move,810,5000000
711,3,Ready to move,1000,7000000
712,3,Ready to move,1000,6500000
713,2,Ready to move,500,3000000
714,2,Ready to move,510,3000000
715,2,Ready to move,450,2300000
716,2,Ready to move,510,2950000
717,3,Ready to move,810,5000000
718,3,Ready to move,1100,6500000
719,3,Ready to move,1100,7000000
720,3,Ready to move,700,3000000
721,3,Ready to move,810,4700000
722,2,Ready to move,500,2450000
723,2,Ready to move,500,2400000
724,4,Ready to move,2350,21000000
725,3,Ready to move,1950,15700000
726,4,Ready to move,2680,20500000
727,4,Ready to move,2950,25000000
728,3,Ready to move,2350,21500000
729,4,Ready to move,2550,23000000
730,4,Ready to move,2500,23500000
731,3,Ready to move,2350,23500000
732,3,Ready to move,2105,19200000
733,4,Ready to move,2650,27000000
734,4,Ready to move,2450,20500000
735,4,Ready to move,2500,21000000
736,2,Ready to move,1280,12200000
737,4,Ready to move,2450,22000000
738,4,Ready to move,2450,21500000
739,4,Ready to move,2800,24000000
740,4,Ready to move,2200,17000000
741,4,Ready to move,2450,21000000
742,4,Ready to move,2450,19800000
743,4,Ready to move,2170,18000000
744,4,Ready to move,2500,22200000
745,3,Ready to move,1950,16500000
746,3,Ready to move,1820,16200000
747,4,Ready to move,2800,24800000
748,3,Ready to move,2150,20200000
749,3,Ready to move,1950,16299999
750,4,Ready to move,3650,36900000
751,3,Ready to move,1980,19000000
752,4,Ready to move,2650,25200000
753,2,Ready to move,1450,14200000
754,2,Ready to move,585,2700000
755,3,Ready to move,915,7800000
756,4,Under Construction,4140,74000000
757,4,Ready to move,6300,135000000
758,4,Ready to move,6300,130000000
759,4,Ready to move,2600,24500000
760,3,Ready to move,1750,21800000
761,3,Ready to move,1750,19000000
762,3,Ready to move,1750,19200000
763,4,Ready to move,2400,24200000
764,3,Ready to move,1700,16000000
765,3,Ready to move,1700,17500000
766,3,Ready to move,1700,15000000
767,3,Ready to move,1700,15800000
768,3,Ready to move,1750,16000000
769,3,Ready to move,1900,20000000
770,3,Ready to move,1670,16000000
771,3,Ready to move,1900,19000000
772,4,Ready to move,2000,23000000
773,3,Ready to move,1750,16000000
774,3,Ready to move,1750,19400000
775,3,Ready to move,1800,17200000
776,3,Ready to move,1900,18000000
777,3,Ready to move,1710,16000000
778,3,Ready to move,1600,17800000
779,3,Ready to move,1800,16000000
780,3,Ready to move,1700,17500000
781,4,Ready to move,1800,21000000
782,3,Ready to move,1250,16500000
783,3,Ready to move,1800,15800000
784,3,Ready to move,1925,21100000
785,2,Ready to move,1200,12800000
786,2,Ready to move,1350,13100000
787,3,Ready to move,900,5000000
788,2,Ready to move,450,3500000
789,3,Ready to move,910,6000000
